user_id	chat_id	chat_title
3555069	-73514830535957	Бесплатные объявления
3559208	-73514830535957	Бесплатные объявления
3564367	-73514830535957	Бесплатные объявления
3566804	-73514830535957	Бесплатные объявления
3567286	-73514830535957	Бесплатные объявления
3568175	-73514830535957	Бесплатные объявления
3569119	-73514830535957	Бесплатные объявления
3576334	-73514830535957	Бесплатные объявления
3576340	-73514830535957	Бесплатные объявления
3581061	-73514830535957	Бесплатные объявления
3582085	-73514830535957	Бесплатные объявления
3590391	-73514830535957	Бесплатные объявления
3590599	-73514830535957	Бесплатные объявления
3594052	-73514830535957	Бесплатные объявления
3594251	-73514830535957	Бесплатные объявления
3596226	-73514830535957	Бесплатные объявления
3599866	-73514830535957	Бесплатные объявления
3601475	-73514830535957	Бесплатные объявления
3601764	-73514830535957	Бесплатные объявления
3605632	-73514830535957	Бесплатные объявления
3608803	-73514830535957	Бесплатные объявления
3609103	-73514830535957	Бесплатные объявления
3610782	-73514830535957	Бесплатные объявления
3612693	-73514830535957	Бесплатные объявления
3620409	-73514830535957	Бесплатные объявления
3621593	-73514830535957	Бесплатные объявления
3626157	-73514830535957	Бесплатные объявления
3627873	-73514830535957	Бесплатные объявления
3628943	-73514830535957	Бесплатные объявления
3634953	-73514830535957	Бесплатные объявления
3636711	-73514830535957	Бесплатные объявления
3638224	-73514830535957	Бесплатные объявления
3640821	-73514830535957	Бесплатные объявления
3642186	-73514830535957	Бесплатные объявления
3647826	-73514830535957	Бесплатные объявления
3650010	-73514830535957	Бесплатные объявления
3653408	-73514830535957	Бесплатные объявления
3655893	-73514830535957	Бесплатные объявления
3659250	-73514830535957	Бесплатные объявления
3660753	-73514830535957	Бесплатные объявления
3664043	-73514830535957	Бесплатные объявления
3669122	-73514830535957	Бесплатные объявления
3669321	-73514830535957	Бесплатные объявления
3670091	-73514830535957	Бесплатные объявления
3673704	-73514830535957	Бесплатные объявления
3674039	-73514830535957	Бесплатные объявления
3678657	-73514830535957	Бесплатные объявления
